accommodates,bedrooms,beds,minimum_nights,maximum_nights,review_scores_rating,availability_30,review_scores_cleanliness,availability_60,availability_90,availability_365,priceClass
6,3.0,4.0,2,21,4.94,6,4.98,26,51,223,1.0
6,3.0,3.0,2,365,4.82,0,4.94,0,0,0,1.0
8,3.0,5.0,2,1125,4.67,2,5.0,7,33,299,1.0
8,3.0,3.0,1,15,4.91,10,4.94,28,50,136,1.0
2,1.0,1.0,30,1125,4.88,1,4.75,1,1,237,0.0
3,2.0,2.0,1,1125,4.95,5,4.96,5,5,5,0.0
2,1.0,1.0,2,28,5.0,0,4.99,0,0,82,0.0
2,1.0,1.0,1,1125,4.88,15,4.91,34,64,334,1.0
2,1.0,1.0,28,1125,5.0,0,4.94,1,1,50,0.0
3,1.0,2.0,1,21,4.99,7,4.97,18,29,286,1.0
2,1.0,1.0,1,1125,4.98,7,5.0,21,47,322,1.0
2,1.0,2.0,2,1125,4.91,14,4.97,38,63,335,0.0
2,1.0,1.0,1,1125,4.99,3,5.0,25,55,325,1.0
2,1.0,1.0,1,1125,4.96,12,4.97,28,58,323,1.0
5,2.0,3.0,3,31,4.95,1,4.97,1,1,21,1.0
2,1.0,1.0,30,1125,4.89,0,4.44,0,17,219,0.0
2,1.0,2.0,30,30,5.0,0,4.5,9,31,51,0.0
4,1.0,2.0,1,90,4.96,3,4.98,5,27,88,0.0
6,3.0,4.0,2,1125,4.38,0,4.25,0,0,144,1.0
2,1.0,1.0,1,7,4.97,0,5.0,0,0,0,0.0
15,4.0,7.0,2,1125,4.88,12,4.84,30,51,313,1.0
4,2.0,2.0,21,1125,5.0,1,5.0,1,2,94,0.0
4,2.0,2.0,2,30,4.87,19,4.92,38,67,67,1.0
2,1.0,1.0,2,31,4.86,13,4.94,40,70,345,1.0
4,2.0,3.0,2,21,4.87,3,4.94,8,26,247,1.0
2,1.0,1.0,2,31,4.9,6,4.96,30,57,329,1.0
4,1.0,2.0,2,21,4.93,0,4.95,18,41,126,0.0
4,2.0,2.0,1,21,4.96,10,4.94,28,50,220,1.0
4,2.0,2.0,1,21,4.97,10,4.98,26,49,225,1.0
6,2.0,4.0,1,365,4.96,7,4.99,14,21,149,1.0
4,2.0,2.0,2,1125,4.81,7,4.63,24,48,301,1.0
4,2.0,2.0,1,365,4.96,5,5.0,17,32,252,1.0
8,3.0,4.0,2,1125,4.78,2,4.93,12,38,310,1.0
14,3.0,9.0,1,365,4.94,10,4.92,18,31,283,1.0
6,3.0,3.0,2,1125,4.95,9,5.0,35,65,329,1.0
2,1.0,1.0,1,365,5.0,13,5.0,27,36,249,1.0
8,4.0,4.0,1,14,4.83,16,4.83,33,57,140,1.0
6,2.0,2.0,1,365,4.95,9,4.97,32,60,220,1.0
6,3.0,3.0,2,365,4.91,9,5.0,12,41,316,1.0
4,1.0,2.0,2,45,5.0,5,4.71,9,15,125,1.0
2,1.0,1.0,1,5,4.98,3,4.96,21,47,133,0.0
2,1.0,1.0,2,90,5.0,3,5.0,17,47,47,0.0
12,5.0,6.0,2,365,5.0,1,5.0,1,1,189,1.0
4,2.0,3.0,2,365,4.91,11,5.0,35,62,317,1.0
14,5.0,7.0,2,365,4.95,17,4.8,36,57,319,1.0
4,2.0,2.0,2,1125,4.64,9,4.84,36,52,327,0.0
4,1.0,2.0,1,365,4.71,0,4.89,0,0,0,0.0
16,6.0,7.0,2,28,4.91,0,4.91,1,5,128,1.0
4,1.0,2.0,2,365,4.65,19,4.92,44,74,174,1.0
6,2.0,2.0,1,365,4.65,7,4.97,29,59,159,1.0
6,2.0,3.0,1,365,4.77,6,4.98,26,56,160,1.0
8,2.0,4.0,2,365,4.9,1,4.96,6,28,276,1.0
4,2.0,2.0,2,30,4.89,7,4.77,22,52,139,0.0
4,1.0,2.0,1,365,4.57,19,4.95,49,79,179,1.0
5,1.0,3.0,1,365,4.92,9,4.86,28,42,311,0.0
6,2.0,3.0,1,365,4.88,9,4.95,23,46,199,1.0
4,2.0,3.0,1,1125,4.87,13,4.92,25,55,313,1.0
2,1.0,1.0,3,10,4.89,3,4.89,3,3,3,1.0
16,7.0,11.0,2,365,5.0,11,4.75,16,36,293,1.0
6,2.0,2.0,2,365,5.0,13,4.89,39,55,217,1.0
2,1.0,1.0,3,10,4.67,22,4.87,23,23,23,0.0
4,1.0,2.0,1,365,4.5,16,4.85,42,72,171,1.0
2,1.0,1.0,3,14,4.96,0,5.0,0,0,0,0.0
8,4.0,5.0,2,365,4.94,10,5.0,23,51,324,1.0
6,2.0,3.0,1,365,4.72,7,4.94,15,42,146,1.0
7,1.0,5.0,2,31,4.88,16,4.92,35,62,150,1.0
4,2.0,2.0,4,30,4.92,9,4.82,19,21,82,1.0
4,1.0,2.0,2,31,4.89,12,4.95,40,70,160,0.0
6,2.0,3.0,1,365,4.88,5,4.98,23,51,203,1.0
4,1.0,2.0,1,365,4.82,8,4.97,20,44,196,1.0
4,1.0,2.0,1,28,4.91,4,4.91,15,33,264,0.0
3,1.0,3.0,2,31,4.87,15,4.97,40,70,345,0.0
4,1.0,2.0,1,365,4.69,0,4.96,0,0,0,1.0
4,1.0,1.0,1,365,4.95,7,5.0,27,53,150,1.0
4,1.0,2.0,1,365,4.79,10,4.98,35,65,162,1.0
10,5.0,5.0,3,1125,4.5,6,4.57,21,41,295,1.0
4,1.0,2.0,1,365,4.95,0,5.0,0,0,0,1.0
6,2.0,3.0,1,365,4.7,4,4.81,19,46,150,1.0
6,2.0,3.0,1,365,4.79,6,4.97,23,53,204,1.0
